subject,phase,roi,pipeline,scope,rho
1,pilot,nsdgeneral,raw_glmsingle,all,0.26171377641965876
1,pilot,nsdgeneral,raw_glmsingle,within_set,0.15665349143610013
1,pilot,nsdgeneral,raw_glmsingle,between_set,0.30386692960644773
1,pilot,nsdgeneral,raw_glmsingle,block_residual,0.10532173848593675
1,pilot,nsdgeneral,task_pooled,all,0.034638735877125966
1,pilot,nsdgeneral,task_pooled,within_set,0.2156785243741765
1,pilot,nsdgeneral,task_pooled,between_set,0.010593805672258899
1,pilot,nsdgeneral,task_pooled,block_residual,0.04042253762757055
1,pilot,nsdgeneral,attention_reference,all,0.14166432123088468
1,pilot,nsdgeneral,attention_reference,within_set,0.32476943346508563
1,pilot,nsdgeneral,attention_reference,between_set,0.04902493164518373
1,pilot,nsdgeneral,attention_reference,block_residual,-0.005178450646999996
1,pilot,early_visual,raw_glmsingle,all,0.40907750660072634
1,pilot,early_visual,raw_glmsingle,within_set,0.35704874835309613
1,pilot,early_visual,raw_glmsingle,between_set,0.4394523993255023
1,pilot,early_visual,raw_glmsingle,block_residual,0.1850139024133448
1,pilot,early_visual,task_pooled,all,0.09167638347204911
1,pilot,early_visual,task_pooled,within_set,0.06376811594202898
1,pilot,early_visual,task_pooled,between_set,0.13415644916973907
1,pilot,early_visual,task_pooled,block_residual,0.0969957905486818
1,pilot,early_visual,attention_reference,all,-0.011529492179646978
1,pilot,early_visual,attention_reference,within_set,-0.0380764163372859
1,pilot,early_visual,attention_reference,between_set,0.015385787914296872
1,pilot,early_visual,attention_reference,block_residual,0.046525733882091976
1,pilot,higher_visual,raw_glmsingle,all,0.3144324715532145
1,pilot,higher_visual,raw_glmsingle,within_set,0.39934123847167324
1,pilot,higher_visual,raw_glmsingle,between_set,0.23953242447626397
1,pilot,higher_visual,raw_glmsingle,block_residual,0.2938708953651994
1,pilot,higher_visual,task_pooled,all,0.0816613726830445
1,pilot,higher_visual,task_pooled,within_set,0.2812911725955204
1,pilot,higher_visual,task_pooled,between_set,-0.0649918545828689
1,pilot,higher_visual,task_pooled,block_residual,0.04320868037759938
1,pilot,higher_visual,attention_reference,all,0.27645986624314794
1,pilot,higher_visual,attention_reference,within_set,0.2142292490118577
1,pilot,higher_visual,attention_reference,between_set,0.2864424057084608
1,pilot,higher_visual,attention_reference,block_residual,0.16370960315092917
